IdPersona|IdEmpresa|Categoria|Piramide1|Piramide2
Z1|9b42754774f4fdf82d2222b8b78f5bf3418ddb5d891bace2a7190cad06611607|B|3 Empresas Pymes|3.2 VIP Estándar
J2|3b10cc8c51e0b8742ce620e617519880222f7a420d90f93cda7b8d6b79a8575c|B|3 Empresas Pymes|3.1 VIP
K3|d82d8aef10445066d8a3f390101992a427b33ff521c28d0cb0ef6000adb10064|C|4 Micro|4.5 Transaccional
U4|146951119c620f9353126975eb34d969eec3d74b44c70ce8f7e62b70d4e49f3f|C|3 Empresas Pymes|3.1 VIP
M5|936d4f7a42a6cac66a352de147a6dc08ccbdb3a5ab8a7c500ab86dbf4d95bffc|B|2 Emp Medio|2.1 Gold
B6|5ba8a399b0870734a52b820a042330f2a229a2b366d05ab5d9a7f4419bdf2f2f|A|5 Micro|5.1 Colsubsidio
A7|a370a14c93b85be1164ead617b56765ab1c81692d3b71fddd52b533d70ae38be|C|1 Emp Grandes|1.2 Premium
Y8|a941a032831be5329453a5422c97e76ab1f68f62db209d61075ad034a92f0f67|A|2 Emp Medio|2.2 Silver
C9|333d2ddcbcf1120744db915a2d6e58c5a0b90d172c868bb59e7c316c46b803cc|A|2 Emp Medio|2.2 Silver
P10|9f3e8e93eeab8abe334a789241d70baf4a2abdbfdef9a31ef87d64fb665e771e|A|4 Micro|4.3 Trans.Juridica Ent. 11 a 99 Trab.
H11|dc517b9a5193b6135c45d1886bd24ac6650b4107252f56b32e7397815207a9a9|A|3 Empresas Pymes|3.2 VIP Estándar
Z12|132a7dc21d6fc0f78f3d393e80b836f33e6f44f629258d14f9759667080c913a|A|3 Empresas Pymes|3.2 VIP Estándar
R13|58172b24934778a9b2cda33cd84b618c04ebb79d098fb13b13fb4f1561fb072e|A|4 Micro|4.3 Trans.Juridica Ent. 11 a 99 Trab.
L14|5686c1fcf42a770e17924ced5188d4a8ee44dce4e8cd2d5777fb0d4b7ae96c04|A|4 Micro|4.3 Trans.Juridica Ent. 11 a 99 Trab.
M15|5bca2e63093b45cc15dd6bd47336bc3a9ce8871142b8569a7c4141cd2537d154|A|2 Emp Medio|2.1 Gold
X16|f33ce10c43cee016adeff980f1856e4a2428609a5acaec006e62e56001128c34|B|3 Empresas Pymes|3.2 VIP Estándar
P17|0b6a845087cee38b4e449937e627caf95c32d1649a2a466a349ef5645b330241|A|3 Empresas Pymes|3.1 VIP
H18|a5cdc67fe000845da037e35c947f48571ed8ea6bac1ca73c056f8d69a719e211|A|4 Micro|4.3 Trans.Juridica Ent. 11 a 99 Trab.
W19|c34ac32a544523a76eeff09580eabe623a3be8f6ae9217006c897d6538dd3a2d|B|4 Micro|4.3 Trans.Juridica Ent. 11 a 99 Trab.
R20|0866d8900826d5660ea51a0f60d8bbf99348082566b6931f3a75dae6cc69467c|A|4 Micro|4.3 Trans.Juridica Ent. 11 a 99 Trab.
F21|082061b54e4b2a9ef1bcf7ab0ef20b0ef2f9284aa276a3e8703beb93c3b6c6fb|A|3 Empresas Pymes|3.1 VIP
I22|45b90923ce1133df8fa07ca31a3d2af277f87b4d994155ee90dc739a266fce6f|A|4 Micro|4.5 Transaccional
D23|03495721496834cbb1a463d40ac41b4d4c26b32531c813e55c6b8022d187726f|A|1 Emp Grandes|1.2 Premium
O24|c7b4cefb91a599962c5266392b7193af205835a3792b611645db8e9bf66b867c|A|4 Micro|4.5 Transaccional
M25|daab2facc50244217ab2d11a05e723679789f3397c202ea5839f5a0a39506efd|A|2 Emp Medio|2.1 Gold
A26|25a3be6ce8c9ccf47a5477a5a413f44db71ad06b299c93050f857ee3214ed123|A|4 Micro|4.7 Transaccional - Independiente
Z27|0eef457dd50fa67f6e4ecfdd767bf84298f93a73a6286047f897efe0ed65fe9e|B|2 Emp Medio|2.2 Silver
J28|260e0ef3adbe0fbaf4eacc38a35862c775c26a36c462ed16adb2bab278588a6c|A|4 Micro|4.3 Trans.Juridica Ent. 11 a 99 Trab.
K29|7f3ea24402c742231c327da2a785f19c41879a4cdf05cacc8f7e748719e72812|B|1 Emp Grandes|1.1 Platinum
U30|8cced4c91afe787780863e6e313baf97bb30d803d141df36f5997946236dc75c|A|3 Empresas Pymes|3.1 VIP
M31|972cd7872e62c7fdd7e39d092ccbd4238da850342c19d2bb28abd5ab601f8661|A|2 Emp Medio|2.2 Silver
B32|4ac5cc8624e419b27d7d82c869d54645e7e5107e737fa802492b05822ab85271|A|1 Emp Grandes|1.2 Premium
A33|53f7443e0e36ce50992d34c0559c3ff6544d8f508e9611da32244a32b293457f|B|4 Micro|4.5 Transaccional
Y34|19aaa063fc895bf4cd93b9588a9322fdd1fd0d3e5e073010a0d7e9bb2eaf0c70|B|4 Micro|4.8 Transaccional - Pensionado
C35|3258161dd12f06764e3af680564cb37669462260a2130f1258e58da03331fdff|B|1 Emp Grandes|1.1 Platinum
P36|91a625b6164df6c987d258b51bdd67406ff4da4393aa76d27dccce36fa44ab88|C|4 Micro|4.5 Transaccional
H37|a68771072c62cadf09e1b659c9c3116c06777c454df48bb1fb5a48cfb7916f99|A|4 Micro|4.3 Trans.Juridica Ent. 11 a 99 Trab.
Z38|ba696f9518f79d6fee97852c9331074efbb2724fcc9598b2862cc266ca769b6f|A|3 Empresas Pymes|3.1 VIP
R39|998b8e1ab219829b4c9aac5d1d1082eb77be7a0bc6feb53edda834bcc9e03a78|A|4 Micro|4.3 Trans.Juridica Ent. 11 a 99 Trab.
L40|f42d14d480ccad3901f9c392e896cf4d9f46e12b316b74af23114a3d7b7110da|C|2 Emp Medio|2.1 Gold
M41|a3eef728906516851373ac686ac3f1200984b20770dad9458bcda96d89c0c49c|A|1 Emp Grandes|1.2 Premium
X42|47245cf5720254fdea65d150d8081c4a6acb580d7ac804f1690b23d477ec7703|A|4 Micro|4.5 Transaccional
P43|6782607832d467d7e88391265867b14e26df170cad35a47648bb26a0fa8d9774|A|2 Emp Medio|2.2 Silver
H44|7f279c0ec0a7b91313da7d040a4ed025d6c14e6b94c7c36a561646d8dd164564|A|1 Emp Grandes|1.2 Premium
W45|d6fcf0d15e1bd88391d304d80e42fa388f5a7c10ff57e47de0c40408af7dcc64|A|4 Micro|4.1 Estándar
R46|0011d68ef50d864c2357e726948c37c9d0a7ea943569e80e9d00941024c8704e|A|4 Micro|4.3 Trans.Juridica Ent. 11 a 99 Trab.
F47|662ba7a1c68838b530bd772f7cc39bd468eeef4c4943e4d805d7b02c2e1f9dea|A|2 Emp Medio|2.1 Gold
I48|ba50b17d0c95d565fcd0e9da0f5ba8a6f308e661ed680155006a5a2e9b45b94a|A|1 Emp Grandes|1.1 Platinum
D49|1b323652bf1e4b16fc56a788db7d2dc1a55517d9e05db204306dff339b345361|A|2 Emp Medio|2.2 Silver
O50|c46da89d1186318b09d3b407c41a7994254b7b1bd5c180211fb57723c15ae4ab|A|2 Emp Medio|2.1 Gold
M51|2c33912198b0be637ee63e9d9dac06844987ab67b467799cce5a35c98d77bcc3|C|2 Emp Medio|2.1 Gold
A52|e0121b7df8a9b4bbdea2fd9f0b9b5fd907a71d35d6f702b7871a4e58e9333812|C|1 Emp Grandes|1.1 Platinum
Z53|836db4485a000931d95c6bfeaa6f2eb918deae61389efbf991ee95a5c3726e36|C|3 Empresas Pymes|3.1 VIP
J54|1dc02b52d5655fe840d85f3d085ab31e1246b6b0d126d7547313fb16c9b21e0b|A|2 Emp Medio|2.1 Gold
K55|9e399f157a0f891efcaad5a158a287d39c03cce0736c48963e897d7c51d4c1ec|A|4 Micro|4.5 Transaccional
U56|58ce9aba1f72fcdaf4c3325c697abd959703b94f3bd9a765c6966912bdea1e0c|A|4 Micro|4.5 Transaccional
M57|a740451da326f576e8773c0dc1e8ea23b14b2682045f557b46808510a6a07bef|A|3 Empresas Pymes|3.1 VIP
B58|f28fd7eb449a03d1a140fb43a2eebeabae487bcdd8312e28e83eb65db98c3319|B|2 Emp Medio|2.1 Gold
A59|7621d3fc96e79151d841a46624997da17434cce010ded466b56ca91e6d19b920|A|2 Emp Medio|2.1 Gold
