IdPersona;Genero;Edad;SectorPoblacional;estado_civil;DepartamentoPersona;MunicipioPersona;cx_persona;cy_persona;EstratoPersona
Z1;M;25;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.14415681;4.55641063;1
J2;M;42;Medio;SIN INFORMACION;;;;;
K3;M;37;Alto;SOLTERO;;;;;
U4;M;43;Medio;SIN INFORMACION;;;;;
M5;F;46;Medio;CASADO;CUNDINAMARCA;FACATATIVA;-74.34488087;4.80893449;3
B6;F;34;Básico;SIN INFORMACION;BOYACA;DUITAMA;-73.03719139;5.81670278;2
A7;F;53;Medio;SEPARADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.0542371;4.71412655;5
Y8;M;18;Básico;SIN INFORMACION;;;;;
C9;M;27;Básico;SIN INFORMACION;;;;;
P10;F;45;Básico;UNION LIBRE;;;;;
H11;F;37;Básico;SIN INFORMACION;CUNDINAMARCA;FUNZA;-74.20665926;4.71421559;1
Z12;M;55;Medio;SIN INFORMACION;;;;;
R13;M;52;Básico;SIN INFORMACION;CUNDINAMARCA;FUNZA;-74.21554296;4.7105714;2
L14;M;32;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.10049017;4.59020866;3
M15;M;45;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.07593726;4.66796028;
X16;M;41;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.11901485;4.57694523;3
P17;M;41;Medio;UNION LIBRE;CUNDINAMARCA;FUNZA;-74.20432718;4.71507518;2
H18;M;27;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.08267417;4.67276777;3
W19;F;34;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.11727317;4.57006295;2
R20;M;22;Joven;SIN INFORMACION;;;;;
F21;M;30;Básico;UNION LIBRE;;;;;
I22;M;55;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.19859809;4.63426118;2
D23;M;31;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.16865631;4.63705601;2
O24;F;45;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.06778525;4.58659579;2
M25;F;37;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.20040453;4.64019438;2
A26;F;42;Medio;SIN INFORMACION;;;;;
Z27;M;46;Medio;CASADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.07103574;4.71379969;5
J28;M;48;Básico;SIN INFORMACION;ATLANTICO;SOLEDAD;-74.79334398;10.92229186;0
K29;F;46;Medio;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.08020569;4.60507171;3
U30;F;56;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.12335843;4.71133196;3
M31;M;25;Medio;SIN INFORMACION;CUNDINAMARCA;SOACHA;-74.21656349;4.60855995;3
B32;F;29;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.14536004;4.63621919;2
A33;M;31;Medio;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.07575778;4.71366003;0
Y34;F;49;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.09895718;4.7529657;3
C35;M;49;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.09958135;4.64426728;0
P36;F;55;Alto;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.07414331;4.59419249;3
H37;M;42;Medio;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.07458269;4.61735571;0
Z38;M;38;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.12889182;4.70033785;2
R39;M;38;Básico;SIN INFORMACION;;;;;
L40;M;64;Medio;CASADO;CUNDINAMARCA;GIRARDOT;-74.8241801;4.29485389;
M41;M;21;Básico;SIN INFORMACION;;;;;
X42;F;40;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.18421064;4.62278525;2
P43;F;41;Medio;SOLTERO;CUNDINAMARCA;SOACHA;-74.2205408;4.6122357;3
H44;F;53;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.07462929;4.61038984;3
W45;M;35;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.02279968;4.76878264;1
R46;F;53;Básico;SIN INFORMACION;;;;;
F47;M;43;Básico;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.19793445;4.60960961;2
I48;M;56;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.16099549;4.5922482;3
D49;M;20;Joven;SIN INFORMACION;;;;;
O50;F;42;Básico;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.07066463;4.60651303;3
M51;F;46;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.11722181;4.75228638;2
A52;M;36;Joven;SIN INFORMACION;;;;;
Z53;F;38;Joven;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.06073108;4.73070833;4
J54;M;23;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.10831402;4.54902171;2
K55;M;37;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.07222838;4.59558499;2
U56;F;37;Joven;SIN INFORMACION;;;;;
M57;M;29;Joven;SIN INFORMACION;;;;;
B58;F;46;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.13420874;4.66085827;4
A59;M;22;Joven;SIN INFORMACION;;;;;
Y60;M;49;Medio;UNION LIBRE;CUNDINAMARCA;CAQUEZA;-73.94642193;4.40191668;
